ReactionID,Equation
EX_acfv_b,acfv_b --> 
EX_pc141_b,pc141_b --> 
EX_pbhb_b,pbhb_b --> 
EX_RipG7_b,RipG7_b --> 
EX_PlcN_b,PlcN_b --> 
EX_PCW_RSp0294_act_b,PCW_RSp0294_act_b --> 
EX_RSp1180_b,RSp1180_b --> 
EX_RipS6_b,RipS6_b --> 
EX_RSp0294_b,RSp0294_b --> 
EX_RipE1_b,RipE1_b --> 
EX_glycogen_b,glycogen_b --> 
EX_tom_b,tom_b --> 
EX_bhb_b,bhb_b --> 
EX_cit_b,cit_b --> 
EX_hxa_b,hxa_b --> 
EX_14aglucan_b,14aglucan_b --> 
EX_RipL_b,RipL_b --> 
EX_adocbl_b,adocbl_b --> 
EX_mso3_b,mso3_b --> 
EX_RSc0246_b,RSc0246_b --> 
EX_gln_L_gly_b,gln_L_gly_b --> 
EX_g3pg_b,g3pg_b --> 
EX_cellos_b,cellos_b --> 
EX_mobd_b,mobd_b <=> 
EX_mnl_b,mnl_b --> 
EX_RSp1536_b,RSp1536_b --> 
EX_co2_b,co2_b <=> 
EX_h2o_b,h2o_b <=> 
EX_RipZ_b,RipZ_b --> 
EX_RipAK_b,RipAK_b --> 
EX_r3rhbb_b,r3rhbb_b --> 
EX_ala_L_asp_L_b,ala_L_asp_L_b --> 
EX_sulfac_b,sulfac_b --> 
EX_RipG3_b,RipG3_b --> 
EX_RipP1_b,RipP1_b --> 
EX_pa161_b,pa161_b --> 
EX_RipS2_b,RipS2_b --> 
EX_RipH2_b,RipH2_b --> 
EX_RSp0275_b,RSp0275_b --> 
EX_RipI_b,RipI_b --> 
EX_pi_b,pi_b <=> 
EX_amob_b,amob_b --> 
EX_arbtnl_b,arbtnl_b --> 
EX_asp_L_asp_L_b,asp_L_asp_L_b --> 
EX_RSp1545_b,RSp1545_b --> 
EX_RSc0249_b,RSc0249_b --> 
EX_gsn_b,gsn_b --> 
EX_Tek_28kd_b,Tek_28kd_b --> 
EX_asp_L_ala_L_b,asp_L_ala_L_b --> 
EX_hexhslac_b,hexhslac_b --> 
EX_pad_b,pad_b --> 
EX_xan_b,xan_b --> 
EX_taur_b,taur_b --> 
EX_RSp1073_b,RSp1073_b --> 
EX_catechol_b,catechol_b --> 
EX_g3pc_b,g3pc_b --> 
EX_spmd_b,spmd_b --> 
EX_PCW_D_Mannose_Rsl2_b,PCW_D_Mannose_Rsl2_b --> 
EX_arg_L_b,arg_L_b --> 
EX_glyc_b,glyc_b --> 
EX_sucr_b,sucr_b --> 
EX_RSc0246_act_b,RSc0246_act_b --> 
EX_so4_b,so4_b <=> 
EX_h2s_b,h2s_b --> 
EX_3hoxid_b,3hoxid_b --> 
EX_5mtr_b,5mtr_b --> 
EX_gln_L_glu_L_b,gln_L_glu_L_b --> 
EX_RipAG_b,RipAG_b --> 
EX_ade_b,ade_b --> 
EX_fru_b,fru_b --> 
EX_RipAT_b,RipAT_b --> 
EX_2feooh_b,2feooh_b --> 
EX_naldx_b,naldx_b --> 
EX_PCW_RSp1539_LPS_b,PCW_RSp1539_LPS_b --> 
EX_glcur_b,glcur_b --> 
EX_uri_b,uri_b --> 
EX_cd2_b,cd2_b --> 
EX_glyc2p_b,glyc2p_b --> 
EX_ind3ac_b,ind3ac_b --> 
EX_ampi_b,ampi_b --> 
EX_bz_b,bz_b --> 
EX_ca2__b,ca2__b --> 
EX_RipTPS_b,RipTPS_b --> 
EX_RipAC_b,RipAC_b --> 
EX_fe3mccdn_b,fe3mccdn_b --> 
EX_no2_b,no2_b --> 
EX_RipA2_b,RipA2_b --> 
EX_gln_L_b,gln_L_b --> 
EX_cl_b,cl_b <=> 
EX_hxan_b,hxan_b --> 
EX_RipAP_b,RipAP_b --> 
EX_hg2_b,hg2_b --> 
EX_pc140_b,pc140_b --> 
EX_RipQ_b,RipQ_b --> 
EX_meoh_b,meoh_b --> 
EX_4abut_b,4abut_b --> 
EX_galct_D_b,galct_D_b --> 
EX_RSc3430_b,RSc3430_b --> 
EX_12dgr140_b,12dgr140_b --> 
EX_PCW_b,PCW_b --> 
EX_RipBB_b,RipBB_b --> 
EX_g3ps_b,g3ps_b --> 
EX_k_b,k_b <=> 
EX_2obut_b,2obut_b --> 
EX_pencilca_b,pencilca_b --> 
EX_14bglucan_b,14bglucan_b --> 
EX_Tek2_28kd_b,Tek2_28kd_b --> 
EX_peroxyl_lpd_b,peroxyl_lpd_b --> 
EX_acon_C_b,acon_C_b --> 
EX_4hphac_b,4hphac_b --> 
EX_acpc_b,acpc_b --> 
EX_idon_L_b,idon_L_b --> 
EX_11cu2s_CopA_b,11cu2s_CopA_b --> 
EX_12dgr180_b,12dgr180_b --> 
EX_na1_b,na1_b <=> 
EX_etle_b,etle_b --> 
EX_inost_b,inost_b --> 
EX_23cump_b,23cump_b --> 
EX_urea_b,urea_b --> 
EX_RipAL_b,RipAL_b --> 
EX_chol_b,chol_b --> 
EX_RipM_b,RipM_b --> 
EX_RSp1139_b,RSp1139_b --> 
EX_ttdca_b,ttdca_b --> 
EX_RipG4_b,RipG4_b --> 
EX_RipP2_b,RipP2_b --> 
EX_id3acald_b,id3acald_b --> 
EX_CbhA_b,CbhA_b --> 
EX_PCW_RSp0540_LPS_b,PCW_RSp0540_LPS_b --> 
EX_adn_b,adn_b --> 
EX_RipF1_b,RipF1_b --> 
EX_acglu_b,acglu_b --> 
EX_cobalt2_b,cobalt2_b <=> 
EX_butso3_b,butso3_b --> 
EX_br_b,br_b --> 
EX_cu_b,cu_b --> 
EX_RipJ_b,RipJ_b --> 
EX_dcahslac_b,dcahslac_b --> 
EX_Expansin_b,Expansin_b --> 
EX_lac_L_b,lac_L_b --> 
EX_RipAX1_b,RipAX1_b --> 
EX_ctbt_b,ctbt_b --> 
EX_ind3acnl_b,ind3acnl_b --> 
EX_RipAH_b,RipAH_b --> 
EX_PCW_L_Fucose_b,PCW_L_Fucose_b --> 
EX_skm_b,skm_b --> 
EX_doxrbcn_b,doxrbcn_b --> 
EX_PS_RS_b,PS_RS_b --> 
EX_acser_b,acser_b --> 
EX_ile_L_b,ile_L_b --> 
EX_RSp1620_b,RSp1620_b --> 
EX_RipH3_b,RipH3_b --> 
EX_RSc0337_b,RSc0337_b --> 
EX_RipS3_b,RipS3_b --> 
EX_16aglucan_b,16aglucan_b --> 
EX_fusa_b,fusa_b --> 
EX_RipAY_b,RipAY_b --> 
EX_RSc3151_b,RSc3151_b --> 
EX_RipW_b,RipW_b --> 
EX_mal_L_b,mal_L_b --> 
EX_RSp1180_act_b,RSp1180_act_b --> 
EX_fald_b,fald_b --> 
EX_12dgr120_b,12dgr120_b --> 
EX_o2s_b,o2s_b --> 
EX_RipAF1_b,RipAF1_b --> 
EX_ala_D_b,ala_D_b --> 
EX_glyb_b,glyb_b --> 
EX_trp_L_b,trp_L_b --> 
EX_pa180_b,pa180_b --> 
EX_glyc_R_b,glyc_R_b --> 
EX_RipAD_b,RipAD_b --> 
EX_PCW_RSc0246_act_b,PCW_RSc0246_act_b --> 
EX_PCW_RSc0249_act_b,PCW_RSc0249_act_b --> 
EX_RipA3_b,RipA3_b --> 
EX_xylu_D_b,xylu_D_b --> 
EX_dca_b,dca_b --> 
EX_RipAU_b,RipAU_b --> 
EX_RSp1539_b,RSp1539_b --> 
EX_citr_L_b,citr_L_b --> 
EX_Mel_b,Mel_b --> 
EX_2kmb_b,2kmb_b --> 
EX_gnid_b,gnid_b --> 
EX_RSc1775_b,RSc1775_b --> 
EX_pnto_R_b,pnto_R_b --> 
EX_pc161_b,pc161_b --> 
EX_RipTAL_b,RipTAL_b --> 
EX_glyc3p_b,glyc3p_b --> 
EX_no3_b,no3_b --> 
EX_glc_D_b,glc_D_b --> 
EX_asp_L_gln_L_b,asp_L_gln_L_b --> 
EX_cbi_b,cbi_b --> 
EX_PCW_RSp1071_LPS_b,PCW_RSp1071_LPS_b --> 
EX_ppa_b,ppa_b --> 
EX_RSc2149_b,RSc2149_b --> 
EX_glcn_b,glcn_b --> 
EX_galur_b,galur_b --> 
EX_RipR_b,RipR_b --> 
EX_mn2_b,mn2_b <=> 
EX_lac_D_b,lac_D_b --> 
EX_RSc0104_act_b,RSc0104_act_b --> 
EX_12dgr141_b,12dgr141_b --> 
EX_ethso3_b,ethso3_b --> 
EX_hphead_b,hphead_b --> 
EX_sel_b,sel_b --> 
EX_galur2u_b,galur2u_b --> 
EX_Pme_b,Pme_b --> 
EX_cm_b,cm_b --> 
EX_RSc3222_b,RSc3222_b --> 
EX_3hpppn_b,3hpppn_b --> 
EX_RipAQ_b,RipAQ_b --> 
EX_incbase_b,incbase_b --> 
EX_for_b,for_b --> 
EX_chtn_b,chtn_b --> 
EX_2dhglcn_b,2dhglcn_b --> 
EX_12dgr181_b,12dgr181_b --> 
EX_Rsl2_b,Rsl2_b --> 
EX_xtsn_b,xtsn_b --> 
EX_ala_L_b,ala_L_b --> 
EX_melanin_b,melanin_b --> 
EX_tsul_b,tsul_b --> 
EX_lys_L_b,lys_L_b --> 
EX_akg_b,akg_b --> 
EX_RipN_b,RipN_b --> 
EX_RipC1_b,RipC1_b --> 
EX_RSp0294_act_b,RSp0294_act_b --> 
EX_RSp1071_b,RSp1071_b --> 
EX_RSc0102_b,RSc0102_b --> 
EX_aso4_b,aso4_b --> 
EX_asp_L_val_L_b,asp_L_val_L_b --> 
EX_ala_L_gln_L_b,ala_L_gln_L_b --> 
EX_leu_L_b,leu_L_b --> 
EX_PehC_b,PehC_b --> 
EX_PCW_RSc3188_LPS_b,PCW_RSc3188_LPS_b --> 
EX_dhap_b,dhap_b --> 
EX_RSp0030_b,RSp0030_b --> 
EX_RipAM_b,RipAM_b --> 
EX_Ss_b,Ss_b --> 
EX_RSp1467_b,RSp1467_b --> 
EX_pa140_b,pa140_b --> 
EX_RipG5_b,RipG5_b --> 
EX_PCW_RSp1073_LPS_b,PCW_RSp1073_LPS_b --> 
EX_cholp_b,cholp_b --> 
EX_ptrc_b,ptrc_b --> 
EX_RSp0768_b,RSp0768_b --> 
EX_ag_b,ag_b --> 
PROT_pe_CbhA_S,CbhA_p + 110.0 atp_c + 110.0 h2o_c --> CbhA_e + 110.0 adp_c + 110.0 h_c + 110.0 pi_c
GLUPRT,gln_L_c + h2o_c + prpp_c --> glu_L_c + ppi_c + pram_c
EX_bromosucc_e_,bromosucc_e <=> bromosucc_b
EX_g3ps_e_,g3ps_e <=> g3ps_b
EX_protein_RSc0249_e_,RSc0249_e --> RSc0249_b
UAG2E,uacgam_c <=> uacmam_c
TARTRDH,nad_c + tartr_L_c <=> h_c + nadh_c + oxglyc_c
BHBt2pp,bhb_p + h_p --> bhb_c + h_c
T3SS_E_RipR_S,RipR_c + 1742.0 atp_c + 1742.0 h2o_c --> RipR_e + 1742.0 adp_c + 1742.0 h_c + 1742.0 pi_c
EX_T3SS_E_RipF1_e_,RipF1_e <=> RipF1_b
HYXNtex,hxan_e <=> hxan_p
FUMAC,4fumacac_c + h2o_c --> acac_c + fum_c + h_c
METTRS,atp_c + met_L_c + trnamet_c --> amp_c + mettrna_c + ppi_c
MI3PP,h2o_c + mi3p_D_c --> inost_c + pi_c
XYLUabcpp,atp_c + h2o_c + xylu_D_p --> adp_c + h_c + pi_c + xylu_D_c
ADOCBIK,adocbi_c + atp_c --> adocbip_c + adp_c + h_c
PROT_Tek_BioS,82.0 alatrna_c + 16.0 argtrna_c + 36.0 asntrna_c + 29.0 asptrna_c + 1891.356 atp_c + 3.0 cystrna_c + 25.0 glntrna_c + 10.0 glutrna_c + 50.0 glytrna_c + 1891.356 h2o_c + 2.0 histrna_c + 26.0 iletrna_c + 61.0 leutrna_c + 20.0 lystrna_c + 7.0 mettrna_c + 10.0 phetrna_c + 20.0 protrna_c + 62.0 sertrna_c + 48.0 thrtrna_c + 6.0 tyrtrna_c + 56.0 valtrna_c --> Tek_c + 1891.356 adp_c + 1891.356 h_c + 1891.356 pi_c + 82.0 trnaala_c + 16.0 trnaarg_c + 65.0 trnaasp_c + 3.0 trnacys_c + 25.0 trnagln_c + 10.0 trnaglu_c + 50.0 trnagly_c + 2.0 trnahis_c + 26.0 trnaile_c + 61.0 trnaleu_c + 20.0 trnalys_c + 7.0 trnamet_c + 10.0 trnaphe_c + 20.0 trnapro_c + 62.0 trnaser_c + 48.0 trnathr_c + 6.0 trnatyr_c + 56.0 trnaval_c
T3SS_E_RipG4_S,RipG4_c + 462.0 atp_c + 462.0 h2o_c --> RipG4_e + 462.0 adp_c + 462.0 h_c + 462.0 pi_c
GLUCYS,atp_c + cys_L_c + glu_L_c --> adp_c + glucys_c + h_c + pi_c
OCDCEAtex,ocdcea_e <=> ocdcea_p
PE141abcpp,atp_c + h2o_c + pe141_c --> adp_c + h_c + pe141_p + pi_c
PROT_RSp0540_BioS,491.0 alatrna_c + 122.0 argtrna_c + 282.0 asntrna_c + 166.0 asptrna_c + 11806.848 atp_c + 12.0 cystrna_c + 210.0 glntrna_c + 75.0 glutrna_c + 476.0 glytrna_c + 11806.848 h2o_c + 50.0 histrna_c + 148.0 iletrna_c + 235.0 leutrna_c + 74.0 lystrna_c + 27.0 mettrna_c + 33.0 phetrna_c + 82.0 protrna_c + 376.0 sertrna_c + 338.0 thrtrna_c + 11.0 trptrna_c + 56.0 tyrtrna_c + 288.0 valtrna_c --> RSp0540_c + 11806.848 adp_c + 11806.848 h_c + 11806.848 pi_c + 491.0 trnaala_c + 122.0 trnaarg_c + 448.0 trnaasp_c + 12.0 trnacys_c + 210.0 trnagln_c + 75.0 trnaglu_c + 476.0 trnagly_c + 50.0 trnahis_c + 148.0 trnaile_c + 235.0 trnaleu_c + 74.0 trnalys_c + 27.0 trnamet_c + 33.0 trnaphe_c + 82.0 trnapro_c + 376.0 trnaser_c + 338.0 trnathr_c + 11.0 trnatrp_c + 56.0 trnatyr_c + 288.0 trnaval_c
UAG2EMA,h2o_c + uacgam_c <=> acmana_c + h_c + udp_c
TARTRDH2,nad_c + tartr_M_c <=> h_c + nadh_c + oxglyc_c
MLTGY2pp,murein4p3p_p --> anhgm3p_p + anhgm4p_p
T3SS_E_RipAL_S,RipAL_c + 311.0 atp_c + 311.0 h2o_c --> RipAL_e + 311.0 adp_c + 311.0 h_c + 311.0 pi_c
PSD160,h_c + ps160_c --> co2_c + pe160_c
3HAD60,3hhexACP_c --> h2o_c + thex2eACP_c
EX_sel_e_,sel_e <=> sel_b
DM_incbase,incbase_c --> incbase_b
QULNS,dhap_c + iasp_c --> 2.0 h2o_c + pi_c + quln_c
BHEXAMD,chtbs_c + h2o_c --> 2.0 acgam_c
G3PEtex,g3pe_e <=> g3pe_p
MCITL2,micit_c <=> pyr_c + succ_c
PSD161,h_c + ps161_c --> co2_c + pe161_c
T3SS_E_RipP2_S,RipP2_c + 488.0 atp_c + 488.0 h2o_c --> RipP2_e + 488.0 adp_c + 488.0 h_c + 488.0 pi_c
MDDEP4pp,h2o_p + murein4px4px4p_p --> murein4px4p4p_p
ADOCBLabcpp,adocbl_p + atp_c + h2o_c --> adocbl_c + adp_c + h_c + pi_c
PROT_pe_Expansin_S,Expansin_p + 256.0 atp_c + 256.0 h2o_c --> Expansin_e + 256.0 adp_c + 256.0 h_c + 256.0 pi_c
T3SS_E_RipW_BioS,32.0 alatrna_c + 10.0 argtrna_c + 26.0 asntrna_c + 27.0 asptrna_c + 1263.12 atp_c + 22.0 glntrna_c + 12.0 glutrna_c + 46.0 glytrna_c + 1263.12 h2o_c + 11.0 histrna_c + 14.0 iletrna_c + 18.0 leutrna_c + 25.0 lystrna_c + 4.0 mettrna_c + 13.0 phetrna_c + 25.0 protrna_c + 32.0 sertrna_c + 29.0 thrtrna_c + trptrna_c + 8.0 tyrtrna_c + 25.0 valtrna_c --> RipW_c + 1263.12 adp_c + 1263.12 h_c + 1263.12 pi_c + 32.0 trnaala_c + 10.0 trnaarg_c + 53.0 trnaasp_c + 22.0 trnagln_c + 12.0 trnaglu_c + 46.0 trnagly_c + 11.0 trnahis_c + 14.0 trnaile_c + 18.0 trnaleu_c + 25.0 trnalys_c + 4.0 trnamet_c + 13.0 trnaphe_c + 25.0 trnapro_c + 32.0 trnaser_c + 29.0 trnathr_c + trnatrp_c + 8.0 trnatyr_c + 25.0 trnaval_c
PGP120abcpp,atp_c + h2o_c + pgp120_c --> adp_c + h_c + pgp120_p + pi_c
EDTXS5,ddcaACP_c + h_c + kdolipid4_c --> ACP_c + kdolipid4L_c
4HPHEAt3r,4hphac_p + h_p <=> 4hphac_c + h_c
PROT_pe_RSc0337_S,RSc0337_p + 496.0 atp_c + 496.0 h2o_c --> RSc0337_e + 496.0 adp_c + 496.0 h_c + 496.0 pi_c
EX_inost_e_,inost_e <=> inost_b
EX_protein_RSp0294_e_,RSp0294_e --> RSp0294_b
ACCtpp,acpc_p <=> acpc_c
2MAHMP,2mahmp_c + h2o_c --> 4ampm_c + h_c + pi_c
PROT_RSp1180_BioS,681.0 alatrna_c + 11.0 argtrna_c + 174.0 asntrna_c + 307.0 asptrna_c + 13648.344 atp_c + 26.0 glntrna_c + 41.0 glutrna_c + 400.0 glytrna_c + 13648.344 h2o_c + 39.0 histrna_c + 123.0 iletrna_c + 275.0 leutrna_c + 2.0 lystrna_c + 9.0 mettrna_c + 102.0 phetrna_c + 204.0 protrna_c + 392.0 sertrna_c + 953.0 thrtrna_c + 39.0 trptrna_c + 22.0 tyrtrna_c + 306.0 valtrna_c --> RSp1180_c + 13648.344 adp_c + 13648.344 h_c + 13648.344 pi_c + 681.0 trnaala_c + 11.0 trnaarg_c + 481.0 trnaasp_c + 26.0 trnagln_c + 41.0 trnaglu_c + 400.0 trnagly_c + 39.0 trnahis_c + 123.0 trnaile_c + 275.0 trnaleu_c + 2.0 trnalys_c + 9.0 trnamet_c + 102.0 trnaphe_c + 204.0 trnapro_c + 392.0 trnaser_c + 953.0 trnathr_c + 39.0 trnatrp_c + 22.0 trnatyr_c + 306.0 trnaval_c
PC8XM,h_c + pre8_c <=> hgbyr_c
PROT_ce_RSc0102_S,RSc0102_c + 1217.0 atp_c + 1217.0 h2o_c --> RSc0102_e + 1217.0 adp_c + 1217.0 h_c + 1217.0 pi_c
GLTN2c,g15l_c + h2o_c --> glcn_c + h_c
Naldxteff,h_p + naldx_p --> h_c + naldx_b
PROT_pe_RSp1539_S,RSp1539_p + 2737.0 atp_c + 2737.0 h2o_c --> RSp1539_e + 2737.0 adp_c + 2737.0 h_c + 2737.0 pi_c
Canatpc,cana_L_p <=> cana_L_c
VNDH,h2o_c + nad_c + vanln_c --> 2.0 h_c + nadh_c + vanlt_c
2AGPE120tipp,2agpe120_p --> 2agpe120_c
NO3t7pp,no2_c + no3_p --> no2_p + no3_c
PPBNGS,2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c
AGM3PApp,anhgm3p_p + h2o_p --> LalaDgluMdap_p + anhgm_p
ACALD,acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c
AACOAR,aacoa_c + h_c + nadph_c <=> nadp_c + r3hbcoa_c
DAAD,ala_D_c + fad_c + h2o_c --> fadh2_c + nh4_c + pyr_c
DRBK,atp_c + drib_c <=> 2dr5p_c + adp_c + h_c
METTRSS,atp_c + selmeth_c + trnamet_c --> amp_c + h_c + ppi_c + selmtrna_c
